GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
-165.2898E-12,-12.0000E+0,1.3855E-9,30.0000E-3,-2.4897E-9,-12.0000E+0,4.8435E-9,50.0000E-3,-749.0275E-12,-12.0000E+0,21.5741E-9,70.0000E-3
253.5883E-12,-11.9600E+0,1.1624E-9,30.0000E-3,-11.4396E-9,-11.9600E+0,7.5620E-9,50.0000E-3,-540.0089E-12,-11.9600E+0,12.0126E-9,70.0000E-3
-235.9439E-12,-11.9200E+0,994.4023E-12,30.0000E-3,-535.8034E-12,-11.9200E+0,7.6265E-9,50.0000E-3,-445.8036E-12,-11.9200E+0,7.8526E-9,70.0000E-3
-131.2244E-12,-11.8800E+0,864.9892E-12,30.0000E-3,-444.1212E-12,-11.8800E+0,5.1676E-9,50.0000E-3,-413.8410E-12,-11.8800E+0,5.6014E-9,70.0000E-3
-42.9067E-12,-11.8400E+0,762.9415E-12,30.0000E-3,-317.9530E-12,-11.8400E+0,2.4539E-9,50.0000E-3,-361.6916E-12,-11.8400E+0,4.2243E-9,70.0000E-3
-188.4206E-12,-11.8000E+0,680.9640E-12,30.0000E-3,-287.6730E-12,-11.8000E+0,1.9886E-9,50.0000E-3,-234.6823E-12,-11.8000E+0,2.3527E-9,70.0000E-3
-240.5702E-12,-11.7600E+0,613.2825E-12,30.0000E-3,-235.9439E-12,-11.7600E+0,1.6491E-9,50.0000E-3,-223.7477E-12,-11.7600E+0,1.9702E-9,70.0000E-3
-139.6356E-12,-11.7200E+0,557.7810E-12,30.0000E-3,-252.7663E-12,-11.7200E+0,1.3962E-9,50.0000E-3,-149.3086E-12,-11.7200E+0,1.6803E-9,70.0000E-3
-172.4394E-12,-11.6800E+0,511.0757E-12,30.0000E-3,-263.7008E-12,-11.6800E+0,1.2022E-9,50.0000E-3,-206.0840E-12,-11.6800E+0,1.4528E-9,70.0000E-3
-44.5890E-12,-11.6400E+0,471.1711E-12,30.0000E-3,-200.6169E-12,-11.6400E+0,1.0482E-9,50.0000E-3,-208.1868E-12,-11.6400E+0,1.2712E-9,70.0000E-3
-26.5048E-12,-11.6000E+0,437.7968E-12,30.0000E-3,-150.1494E-12,-11.6000E+0,924.8128E-12,50.0000E-3,-182.5327E-12,-11.6000E+0,1.1251E-9,70.0000E-3
-16.4113E-12,-11.5600E+0,408.4282E-12,30.0000E-3,-123.2336E-12,-11.5600E+0,824.6622E-12,50.0000E-3,-136.6918E-12,-11.5600E+0,1.0062E-9,70.0000E-3
41.6258E-12,-11.5200E+0,329.3074E-12,30.0000E-3,-111.0376E-12,-11.5200E+0,741.0412E-12,50.0000E-3,-119.8692E-12,-11.5200E+0,906.4288E-12,70.0000E-3
-47.5328E-12,-11.4800E+0,306.6492E-12,30.0000E-3,-119.0281E-12,-11.4800E+0,671.4758E-12,50.0000E-3,-38.7010E-12,-11.4800E+0,823.0589E-12,70.0000E-3
-13.0469E-12,-11.4400E+0,287.8341E-12,30.0000E-3,12.6072E-12,-11.4400E+0,613.6753E-12,50.0000E-3,10.5044E-12,-11.4400E+0,752.3054E-12,70.0000E-3
48.7754E-12,-11.4000E+0,271.7513E-12,30.0000E-3,-79.0749E-12,-11.4000E+0,563.3621E-12,50.0000E-3,-53.0000E-12,-11.4000E+0,691.0765E-12,70.0000E-3
71.0651E-12,-11.3600E+0,258.0419E-12,30.0000E-3,-26.9255E-12,-11.3600E+0,520.6088E-12,50.0000E-3,-30.2897E-12,-11.3600E+0,639.3687E-12,70.0000E-3
115.2241E-12,-11.3200E+0,245.9677E-12,30.0000E-3,-43.3273E-12,-11.3200E+0,482.7961E-12,50.0000E-3,-7.5794E-12,-11.3200E+0,593.4262E-12,70.0000E-3
70.2240E-12,-11.2800E+0,235.3320E-12,30.0000E-3,-74.4486E-12,-11.2800E+0,450.4042E-12,50.0000E-3,831.5570E-15,-11.2800E+0,553.6563E-12,70.0000E-3
118.5885E-12,-11.2400E+0,225.7531E-12,30.0000E-3,-44.1684E-12,-11.2400E+0,421.9378E-12,50.0000E-3,-11.7852E-12,-11.2400E+0,518.6714E-12,70.0000E-3
