250;0
260;0
270;0
280;0
290;0
300;0
310;0
312;0
314;0
315;0
316;3
318;76
320;169
322;352
324;449
326;556
328;626
330;715
332;712
334;747
336;777
338;769
340;774
342;812
344;839
346;863
348;784
350;829
352;767
354;820
356;806
358;871
360;850
362;872
364;866
366;836
368;775
370;820
372;881
374;802
376;851
378;839
380;864
390;864
400;864
410;850
420;864
430;913
440;870
450;873
460;900
470;874
480;882
490;922
500;898
510;918
520;924
530;925
540;867
550;933
560;910
570;925
580;901
590;888
600;909
610;890
620;1004
630;923
640;966
650;914
