250;7242;120
260;7266;128
270;7294;130
280;7320;132
290;7438;134
300;7676;134
310;7528;136
320;7417;136
330;7588;136
340;7887;136
350;8108;138
360;8017;132
370;8192;136
380;8368;136
390;8596;136
400;8762;138
410;8780;138
420;9039;140
430;9174;140
440;9419;140
450;9407;140
460;9646;140
480;10043;140
500;10700;140
520;10853;140
540;11138;142
560;12002;142
580;12308;142
600;12837;144
620;13177;148
640;13447;154
660;13974;162
680;14395;168
700;14483;176
720;14908;184
740;15019;190
760;15256;214
780;15286;228
800;15295;238
820;15231;252
840;15038;264
860;15318;360
880;15417;368
900;15287;384
920;15517;512
940;15304;544
960;15519;640
980;15422;784
1000;15505;824
1020;15671;1020
1040;15348;1360
1060;15625;1500
1080;15660;1640
1100;15640;1740
1120;15408;1860
1140;15688;2180
1160;15787;2340
1180;15874;2620
1200;15734;3160
1220;16318;3360
1240;16590;3960
1260;18623;6240
1280;18700;6320
1320;18738;6320
1360;18886;6400
1400;18865;6400
1440;22894;6400
1480;35387;6480
1520;62163;6560
1560;86404;6560
1600;109744;6640
1640;115412;6640
1680;117454;6640
1720;116660;6640
1760;112102;6640
1800;99499;6640
1840;89320;6640
1880;68030;6640
1920;52707;6640
1960;48932;6640
2000;46818;6640
